央视频道,#genre#
CCTV3,http://221.13.235.209:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.52.14.64:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://222.185.98.96:888/rtp/239.49.0.3:9566
CCTV3,http://222.185.98.96:888/rtp/239.49.1.3:6000
CCTV4,http://101.66.195.105:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://101.66.199.251:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://171.14.89.243:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.52.14.64:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://221.224.197.251:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://61.145.188.90:50005/rtp/239.77.1.163:5146
CCTV4,http://222.185.98.96:888/rtp/239.49.0.4:8024
CCTV4,http://222.185.98.96:888/rtp/239.49.1.4:6000
CCTV5,http://101.66.195.105:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.199.251:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://221.13.235.209:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.52.14.64:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://222.185.98.96:888/rtp/239.49.0.5:9570
CCTV5,http://222.185.98.96:888/rtp/239.49.1.5:6000
CCTV5+,http://101.74.28.209:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://123.52.14.64:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV6,http://101.66.195.105:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.74.28.209:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.14.89.243:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://123.52.14.64:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://222.185.98.96:888/rtp/239.49.0.6:9574
CCTV6,http://222.185.98.96:888/rtp/239.49.1.6:6000
CCTV7,http://101.66.199.251:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.195.105:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://221.13.235.209:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.52.14.64:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://221.224.197.251:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://220.169.109.72:802/rtp/239.76.253.157:9000
CCTV7,http://220.169.100.41:10087/rtp/239.76.253.157:9000
CCTV7,http://171.109.20.22:4566/rtp/239.81.0.116:4056
CCTV7,http://222.185.98.96:888/rtp/239.49.1.254:6000
CCTV8,http://101.66.195.105:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://101.66.199.251:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://221.13.235.209:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://123.52.14.64:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://112.193.69.160:8888/rtp/239.0.0.17:5140
CCTV8,http://222.185.98.96:888/rtp/239.49.0.8:9578
CCTV8,http://222.185.98.96:888/rtp/239.49.1.8:6000
CCTV9,http://101.66.195.105:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://101.66.199.251:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://125.43.244.1:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://123.52.14.64:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://116.233.38.0:8888/rtp/239.45.3.4:5140
CCTV9,http://220.169.100.41:10087/rtp/239.76.253.159:9000
CCTV9,http://112.193.69.160:8888/rtp/239.0.0.18:5140
CCTV9,http://222.185.98.96:888/rtp/239.49.8.53:9814
CCTV世界地理,http://123.174.106.183:8888/rtp/239.1.1.99:8099
CCTV央视精品,http://123.174.106.183:8888/rtp/239.1.1.91:8091
CCTV央视精品,http://120.197.253.254:1818/rtp/239.21.0.77:3648
CCTV怀旧剧场,http://123.174.106.183:8888/rtp/239.1.1.95:8095
CCTV电视指南,http://120.197.253.254:1818/rtp/239.21.0.81:3664
CCTV风云剧场,http://120.197.253.254:1818/rtp/239.21.0.76:3644
CCTV风云音乐,http://123.174.106.183:8888/rtp/239.1.1.96:8096
CCTV高网频道,http://27.8.197.162:8899/rtp/225.0.4.166:7980
CETV,http://218.87.237.105:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CETV,http://218.87.237.106:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://171.14.89.243:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://125.43.244.1:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://183.131.246.250:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://101.74.28.209:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://101.66.199.251:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.195.105:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://125.43.244.1:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.174.106.183:8888/rtp/239.1.1.33:8033
东南卫视,http://114.222.251.120:4023/rtp/239.49.8.112:8000
东南卫视,http://222.185.98.96:888/rtp/239.49.1.45:6000
东南卫视,http://222.185.98.96:888/rtp/239.49.0.61:8480
东方卫视,http://101.66.195.105:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://101.66.199.251:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://221.13.235.209:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.52.14.64:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://114.222.251.120:4023/rtp/239.49.8.17:9606
东方卫视,http://60.168.244.54:8888/rtp/238.1.78.163:7176
东方卫视,http://220.169.100.41:10087/rtp/239.76.253.186:9000
东方卫视,http://222.185.98.96:888/rtp/239.49.1.32:6000
东方卫视,http://222.185.98.96:888/rtp/239.49.0.48:8376
中国教育电视台第四,http://218.87.237.105:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育电视台第四,http://218.87.237.106:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
中学生,http://218.87.237.105:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
中学生,http://218.87.237.106:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://101.66.195.105:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://125.43.244.1:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://101.66.199.251:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://123.52.14.64:9901/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://222.185.98.96:888/rtp/239.49.1.235:6000
优漫卡通,http://171.14.89.243:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
保定1,http://101.74.28.209:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
公共,http://171.14.89.243:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
公共农业,http://218.87.237.105:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
公共农业,http://218.87.237.106:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://218.87.237.105:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://218.87.237.106:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙卫视,http://218.87.237.106:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙卫视,http://218.87.237.105:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://171.14.89.243:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://222.185.98.96:888/rtp/239.49.1.240:6000
北京卡通,http://221.13.235.209:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
北京卡通,http://171.14.89.243:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://183.131.246.250:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://125.43.244.1:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://221.13.235.209:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.52.14.64:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://114.222.251.120:4023/rtp/239.49.8.11:9414
北京卫视,http://222.185.98.96:888/rtp/239.49.1.33:6000
北京卫视,http://222.185.98.96:888/rtp/239.49.0.49:8384
南方卫视,http://222.185.98.96:888/rtp/239.49.1.249:6000
吉林卫视,http://101.66.195.105:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://101.66.199.251:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://218.87.237.105:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://123.52.14.64:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://112.193.69.160:8888/rtp/239.0.0.191:5140
吉林卫视,http://222.185.98.96:888/rtp/239.49.9.1:6000
吉林卫视,http://222.185.98.96:888/rtp/239.49.1.49:6000
吉林卫视,http://222.185.98.96:888/rtp/239.49.0.65:8512
嘉佳卡通,http://171.14.89.243:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://101.66.195.105:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://125.43.244.1:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://101.66.199.251:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://123.52.14.64:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://119.130.241.9:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://222.185.98.96:888/rtp/239.49.1.43:6000
